Model_simple,Model,Engine_Capacity,Transmission,Fuel_Type,Mileage,Price,Age
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,15000,6500000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,22000,6350000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,22000,6350000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,39000,6200000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,56417,6200000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,39000,6200000,5
Wagon R,WAGON R STINGRAY SAFETY,660,AUTOMATIC,HYBRID,54000,6150000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,54000,6150000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,45000,6125000,5
Wagon R,WAGON R STINGRAY SAFETY,660,AUTOMATIC,HYBRID,47000,6125000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,56000,6100000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,54000,6080000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,78000,6025000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,78000,6025000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,65000,6000000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,72000,6000000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,75000,5990000,5
Wagon R,WAGON R STINGRAY,660,AUTOMATIC,HYBRID,67532,5990000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,84000,5990000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,67532,5990000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,57000,5975000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,70450,5975000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,67532,5975000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,50000,5950000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,65000,5950000,5
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,60000,5950000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,67532,5900000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,82000,5900000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,67532,5900000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,82000,5900000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,44100,5900000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,74000,5890000,5
Wagon R,WAGON R STINGRAY SAFETY,660,AUTOMATIC,HYBRID,86000,5890000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,86000,5890000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,42600,5850000,5
Wagon R,WAGON R STINGRAY SAFETY,660,AUTOMATIC,HYBRID,57200,5850000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,70000,5850000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,98000,5850000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,65000,5850000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,57200,5850000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,98000,5850000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,52300,5835000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,67500,5825000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,89000,5750000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,79500,5700000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,79500,5700000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,65000,5690000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,65000,5690000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,58000,5680000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,58000,5680000,5
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,80450,5625000,5
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,58000,5625000,5
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,53000,5600000,5
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,54800,5600000,5
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,76952,5590000,5
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,PETROL,76952,5590000,5
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,48801,5490000,5
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,26000,5400000,5
Wagon R,WAGON R FZ,800,AUTOMATIC,PETROL,26000,5400000,5
Wagon R,WAGON R FZ,650,AUTOMATIC,PETROL,26000,5400000,5
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,82000,5390000,5
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,66000,5375000,5
Wagon R,WAGON R FZ,660,AUTOMATIC,HYBRID,66000,5375000,5
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,51000,5090000,5
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,76000,4900000,5
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,85000,4850000,5
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,94000,4675000,5
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,86000,4390000,5
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,52794,6050000,6
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,88850,5890000,6
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,88850,5890000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,86000,5850000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,52900,5825000,6
Wagon R,WAGON R FZ SAFETY,660,AUTOMATIC,HYBRID,52900,5825000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,60040,5795000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,57782,5750000,6
Wagon R,WAGON R STINGRAY SAFETY,600,AUTOMATIC,HYBRID,65227,5750000,6
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,57782,5750000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,30000,5700000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,69300,5690000,6
Wagon R,WAGON R STINGRAY,680,AUTOMATIC,HYBRID,78000,5675000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,64000,5660000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,55400,5625000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,58000,5625000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,86000,5625000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,52900,5600000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,61000,5590000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,76952,5590000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,65000,5590000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,68000,5575000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,52000,5575000,6
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,52000,5575000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,134905,5490000,6
Wagon R,WAGON R FZ,690,AUTOMATIC,HYBRID,134905,5490000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,103000,5450000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,150000,5450000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,103000,5450000,6
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,150000,5450000,6
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,69000,5390000,6
Wagon R,WAGON R FZ,660,AUTOMATIC,HYBRID,69000,5390000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,54000,5375000,6
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,62000,5350000,6
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,113000,5290000,6
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,52000,5250000,6
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,68000,5190000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,91000,5190000,6
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,91000,5150000,6
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,66569,5150000,6
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,69500,4975000,6
Wagon R,WAGON R FX SAFETY,650,AUTOMATIC,HYBRID,47000,4890000,6
Wagon R,WAGON R FX SAFETY,650,AUTOMATIC,HYBRID,78000,4880000,6
Wagon R,WAGON R FX SAFETY,650,AUTOMATIC,HYBRID,59000,4850000,6
Wagon R,WAGON R FX SAFETY,650,AUTOMATIC,HYBRID,43900,4800000,6
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,69548,4750000,6
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,98760,4750000,6
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,80000,4750000,6
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,83000,4685000,6
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,133004,4525000,6
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,74000,4475000,6
Wagon R,WAGON R FZ SAFETY,650,AUTOMATIC,HYBRID,26000,5400000,7
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,58000,4950000,7
Wagon R,WAGON R FX SAFETY,650,AUTOMATIC,HYBRID,117000,4575000,7
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,70000,4550000,7
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,142000,4450000,7
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,29000,4300000,7
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,29000,4300000,7
Wagon R,WAGON R FZ,650,AUTOMATIC,HYBRID,86000,4265000,7
Wagon R,WAGON R FX,650,AUTOMATIC,HYBRID,135258,4160000,7
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,113000,5290000,8
Wagon R,WAGON R J-STYLE,650,AUTOMATIC,HYBRID,128000,4800000,8
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,108452,4750000,8
Wagon R,WAGON R FX SAFETY,650,AUTOMATIC,HYBRID,97000,4750000,8
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,90000,4690000,8
Wagon R,WAGON R J-STYLE,650,AUTOMATIC,PETROL,66000,4690000,8
Wagon R,WAGON R FX,660,AUTOMATIC,HYBRID,59000,4675000,8
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,59000,4675000,8
Wagon R,WAGON R STINGRAY SAFETY,650,AUTOMATIC,HYBRID,59000,4675000,8
Wagon R,WAGON R J-STYLE,650,AUTOMATIC,HYBRID,67780,4590000,8
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,89760,4585000,8
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,89760,4585000,8
Wagon R,WAGON R STINGRAY,650,AUTOMATIC,HYBRID,72000,4575000,8
