Model,MOY,Age,Mileage,Engine_Capacity,Fuel_Type,Transmission,Price
HIACE,2019,4,18000,2800,DIESEL,AUTOMATIC,24700000
HILUX,2020,3,20000,2800,DIESEL,AUTOMATIC,24700000
HILUX,2020,3,20000,2800,DIESEL,AUTOMATIC,24700000
FORTUNER,2017,6,63002,2600,DIESEL,AUTOMATIC,24500000
HARRIER,2017,6,328000,1990,PETROL,TIPTRONIC,24000000
LAND CRUISER PRADO,2012,11,117000,2750,PETROL,AUTOMATIC,23850000
LAND CRUISER PRADO,2010,13,175000,3000,DIESEL,MANUAL,23500000
LAND CRUISER PRADO,2010,13,175000,3000,DIESEL,MANUAL,23500000
LAND CRUISER PRADO,2010,13,175000,3000,DIESEL,AUTOMATIC,23500000
LAND CRUISER PRADO,2010,13,95000,2750,PETROL,AUTOMATIC,22950000
LAND CRUISER PRADO,2010,13,95000,2750,PETROL,MANUAL,22950000
HILUX,2018,5,52000,2800,DIESEL,AUTOMATIC,22000000
LAND CRUISER PRADO,2010,13,98000,3000,PETROL,AUTOMATIC,21250000
VOXY,2016,7,323214,1500,PETROL,AUTOMATIC,21051000
LAND CRUISER PRADO,2010,13,58000,2700,PETROL,AUTOMATIC,21000000
HILUX,2019,4,33000,2800,DIESEL,AUTOMATIC,21000000
HIACE,2018,5,38000,2800,DIESEL,AUTOMATIC,21000000
LAND CRUISER PRADO,2010,13,58000,2700,DIESEL,MANUAL,21000000
HILUX,2019,4,33000,2800,PETROL,AUTOMATIC,21000000
LAND CRUISER PRADO,1999,24,215000,4200,DIESEL,AUTOMATIC,20000000
HIACE,2017,6,34900,3000,DIESEL,AUTOMATIC,19850000
LAND CRUISER PRADO,2008,15,150000,1000,PETROL,AUTOMATIC,19620000
HILUX,2020,3,24000,2500,DIESEL,AUTOMATIC,19500000
HIACE,2017,6,41000,3000,DIESEL,AUTOMATIC,19500000
HIACE,2017,6,41000,3000,PETROL,MANUAL,19500000
HILUX,2017,6,85000,2800,PETROL,AUTOMATIC,18800000
HILUX,2017,6,120000,2800,DIESEL,MANUAL,18650000
HILUX,2017,6,120000,2800,PETROL,MANUAL,18650000
HIACE,2018,5,56000,2800,DIESEL,AUTOMATIC,18600000
HIACE,2018,5,56000,2800,PETROL,AUTOMATIC,18600000
PREMIO,2020,3,52000,1500,PETROL,AUTOMATIC,18550000
PREMIO,2020,3,52000,1500,DIESEL,MANUAL,18550000
HARRIER,2015,8,110000,2500,HYBRID,AUTOMATIC,18500000
HIACE,2018,5,144528,2460,DIESEL,MANUAL,18500000
HIACE,2018,5,144528,2460,DIESEL,MANUAL,18500000
HARRIER,2016,7,55670,2000,PETROL,AUTOMATIC,18400000
HARRIER,2016,7,55670,2000,PETROL,AUTOMATIC,18400000
HIACE,2016,7,68620,3000,DIESEL,AUTOMATIC,18000000
HIACE,2017,6,66650,2980,DIESEL,AUTOMATIC,18000000
HIACE,2017,6,66650,2980,HYBRID,AUTOMATIC,18000000
HIACE,2015,8,63000,3000,DIESEL,AUTOMATIC,17950000
HIACE,2015,8,63000,3000,DIESEL,MANUAL,17950000
LAND CRUISER PRADO,2008,15,140000,2800,PETROL,AUTOMATIC,17900000
LAND CRUISER PRADO,2008,15,140000,2800,PETROL,AUTOMATIC,17900000
PREMIO,2019,4,65000,1500,HYBRID,AUTOMATIC,17700000
HIACE,2015,8,100020,1800,DIESEL,MANUAL,17600000
HILUX,2018,5,210000,2800,DIESEL,AUTOMATIC,17500000
HILUX,2017,6,47000,2800,DIESEL,MANUAL,17500000
HIACE,2015,8,45000,2700,DIESEL,AUTOMATIC,17500000
HILUX,2016,7,120000,2800,DIESEL,AUTOMATIC,17500000
HILUX,2016,7,120000,2800,DIESEL,AUTOMATIC,17500000
PREMIO,2019,4,69000,1500,PETROL,AUTOMATIC,17300000
HILUX,2018,5,54500,2800,DIESEL,MANUAL,17000000
HILUX,2018,5,92000,2395,DIESEL,MANUAL,16900000
LAND CRUISER,2006,17,170000,3000,DIESEL,AUTOMATIC,16900000
HILUX,2018,5,170000,2800,DIESEL,AUTOMATIC,16900000
HILUX,2018,5,170000,2800,DIESEL,AUTOMATIC,16900000
LAND CRUISER,2006,17,170000,3000,PETROL,AUTOMATIC,16900000
HIACE,2015,8,150000,3000,DIESEL,AUTOMATIC,16850000
CHR,2020,3,15800,1200,PETROL,AUTOMATIC,16850000
CHR,2020,3,15800,1200,PETROL,MANUAL,16850000
HIACE,2015,8,150000,3000,PETROL,MANUAL,16850000
HIACE,2017,6,75000,2500,PETROL,AUTOMATIC,16800000
HIACE,2015,8,133000,3000,DIESEL,AUTOMATIC,16800000
